analysis_version,sample,variant_label,comparison_model,tour,slam,change_type,compared_matches,joint_non_tie_matches,variant_exact_ties,comparator_exact_ties,change_matches,actual_upset_semantics,match_level_detail_tracked
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,market_odds,ATP,US Open,flip,2990,2985,5,5,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,market_odds,ATP,US Open,tie_created,2990,2985,5,5,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,market_odds,ATP,US Open,tie_removed,2990,2985,5,5,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,market_odds,WTA,Australian Open,flip,2382,2380,2,2,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,market_odds,WTA,Australian Open,tie_created,2382,2380,2,2,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,market_odds,WTA,Australian Open,tie_removed,2382,2380,2,2,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,market_odds,WTA,Roland Garros,flip,2368,2365,3,3,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,market_odds,WTA,Roland Garros,tie_created,2368,2365,3,3,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,market_odds,WTA,Roland Garros,tie_removed,2368,2365,3,3,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,market_odds,WTA,Wimbledon,flip,2242,2241,1,1,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,market_odds,WTA,Wimbledon,tie_created,2242,2241,1,1,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,market_odds,WTA,Wimbledon,tie_removed,2242,2241,1,1,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,market_odds,WTA,US Open,flip,2375,2371,4,4,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,market_odds,WTA,US Open,tie_created,2375,2371,4,4,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,market_odds,WTA,US Open,tie_removed,2375,2371,4,4,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,overall_elo,ATP,Australian Open,flip,2958,2958,0,0,366,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,overall_elo,ATP,Australian Open,tie_created,2958,2958,0,0,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,overall_elo,ATP,Australian Open,tie_removed,2958,2958,0,0,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,overall_elo,ATP,Roland Garros,flip,3035,3032,1,2,404,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,overall_elo,ATP,Roland Garros,tie_created,3035,3032,1,2,1,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,overall_elo,ATP,Roland Garros,tie_removed,3035,3032,1,2,2,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,overall_elo,ATP,Wimbledon,flip,2931,2928,3,0,497,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,overall_elo,ATP,Wimbledon,tie_created,2931,2928,3,0,3,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,overall_elo,ATP,Wimbledon,tie_removed,2931,2928,3,0,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,overall_elo,ATP,US Open,flip,2990,2984,5,1,378,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,overall_elo,ATP,US Open,tie_created,2990,2984,5,1,5,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,overall_elo,ATP,US Open,tie_removed,2990,2984,5,1,1,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,overall_elo,WTA,Australian Open,flip,2382,2380,2,0,303,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,overall_elo,WTA,Australian Open,tie_created,2382,2380,2,0,2,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,overall_elo,WTA,Australian Open,tie_removed,2382,2380,2,0,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,overall_elo,WTA,Roland Garros,flip,2368,2365,3,0,314,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,overall_elo,WTA,Roland Garros,tie_created,2368,2365,3,0,3,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,overall_elo,WTA,Roland Garros,tie_removed,2368,2365,3,0,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,overall_elo,WTA,Wimbledon,flip,2242,2241,1,0,315,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,overall_elo,WTA,Wimbledon,tie_created,2242,2241,1,0,1,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,overall_elo,WTA,Wimbledon,tie_removed,2242,2241,1,0,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,overall_elo,WTA,US Open,flip,2375,2371,4,0,242,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,overall_elo,WTA,US Open,tie_created,2375,2371,4,0,4,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,overall_elo,WTA,US Open,tie_removed,2375,2371,4,0,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,ATP,Australian Open,flip,2958,2958,0,0,358,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,ATP,Australian Open,tie_created,2958,2958,0,0,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,ATP,Australian Open,tie_removed,2958,2958,0,0,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,ATP,Roland Garros,flip,3035,3032,1,2,371,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,ATP,Roland Garros,tie_created,3035,3032,1,2,1,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,ATP,Roland Garros,tie_removed,3035,3032,1,2,2,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,ATP,Wimbledon,flip,2931,2928,3,0,452,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,ATP,Wimbledon,tie_created,2931,2928,3,0,3,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,ATP,Wimbledon,tie_removed,2931,2928,3,0,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,ATP,US Open,flip,2990,2984,5,1,357,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,ATP,US Open,tie_created,2990,2984,5,1,5,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,ATP,US Open,tie_removed,2990,2984,5,1,1,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,WTA,Australian Open,flip,2382,2380,2,0,292,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,WTA,Australian Open,tie_created,2382,2380,2,0,2,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,WTA,Australian Open,tie_removed,2382,2380,2,0,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,WTA,Roland Garros,flip,2368,2365,3,0,292,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,WTA,Roland Garros,tie_created,2368,2365,3,0,3,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,WTA,Roland Garros,tie_removed,2368,2365,3,0,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,WTA,Wimbledon,flip,2242,2241,1,0,294,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,WTA,Wimbledon,tie_created,2242,2241,1,0,1,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,WTA,Wimbledon,tie_removed,2242,2241,1,0,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,WTA,US Open,flip,2375,2371,4,0,255,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,WTA,US Open,tie_created,2375,2371,4,0,4,model-relative underdog orientation,False
market-probability-sensitivities-v1,balanced_all_variants_common,proportional_primary_hierarchy_mean,surface_adjusted_elo,WTA,US Open,tie_removed,2375,2371,4,0,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,primary_completed_non_retirement,power_primary_hierarchy_mean,market_odds,ATP,Australian Open,flip,2958,2958,0,0,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,primary_completed_non_retirement,power_primary_hierarchy_mean,market_odds,ATP,Australian Open,tie_created,2958,2958,0,0,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,primary_completed_non_retirement,power_primary_hierarchy_mean,market_odds,ATP,Australian Open,tie_removed,2958,2958,0,0,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,primary_completed_non_retirement,power_primary_hierarchy_mean,market_odds,ATP,Roland Garros,flip,3036,3035,0,1,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,primary_completed_non_retirement,power_primary_hierarchy_mean,market_odds,ATP,Roland Garros,tie_created,3036,3035,0,1,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,primary_completed_non_retirement,power_primary_hierarchy_mean,market_odds,ATP,Roland Garros,tie_removed,3036,3035,0,1,1,model-relative underdog orientation,False
market-probability-sensitivities-v1,primary_completed_non_retirement,power_primary_hierarchy_mean,market_odds,ATP,Wimbledon,flip,2933,2930,0,3,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,primary_completed_non_retirement,power_primary_hierarchy_mean,market_odds,ATP,Wimbledon,tie_created,2933,2930,0,3,0,model-relative underdog orientation,False
market-probability-sensitivities-v1,primary_completed_non_retirement,power_primary_hierarchy_mean,market_odds,ATP,Wimbledon,tie_removed,2933,2930,0,3,3,model-relative underdog orientation,False
